中国共产党,现代,建立时间,"
建党日是 1921年7月1日
",党建知识
中国共产党,现代,性质,"
中国共产党是中国工人阶级的先锋队，是中国人民和中华民族的先锋队
",党建知识
中国共产党,现代,预备党员和正式党员,"
相同点：义务相同
不同点：预备党员没有表决权，选举权，被选举权
",党建知识
入党,现代,入党志愿书,"
党支部对申请入党的同志经过认真培养、教育、考察，在充分听取党内外群众意见的基础上，认为已经具备了党员条件后，将有关情况和材料报上级党组织预审，经上级党组织认为可以履行入党手续时，再将《入党志愿书》发给发展对象填写
",流程时间
中国共产党,现代,地位,"
中国共产党是中国工人阶级的先锋队，是中国人民和中华民族的先锋队！
",党建知识
入党条件,现代,条件,"
中国共产党是我国的执政党，是中国特色社会主义事业的领导核心！
",党建知识
中国共产党,现代,宗旨,"
全心全意为人民服务
",党建知识
中国共产党,现代,思想路线,"
一切从实际出发，从理论联系实际 实事求是在实践中检验真理和发展真理
",党建知识
邓小平,现代,邓小平理论,"
马克思列宁主义的基本原理同当代中国实践和时代特征相结合的产物，是毛泽东思想在新的历史条件下的继承和发展，是马克思主义在中国发展的新阶段，是当代中国的马克思主义，是中国共产党集体智慧的结晶，引导着我国社会主义现代化事业不断前进
",党建知识
三个代表,现代,三个代表,"
“三个代表”重要思想是对马克思列宁主义、毛泽东思想、邓小平理论的继承和发展，反映了当代世界和中国的发展变化对党和国家工作的新要求，是加强和改进党的建设、推进我国社会主义自我完善和发展的强大理论武器，是中国共产党集体智慧的结晶，是党必须长期坚持的指导思想。始终做到 “三个代表”，是我们党的立党之本、执政之基、力量之源。
",党建知识
中国共产党,现代,奋斗目标,"
党的最高理想和最终目标是实现共产主义。
",党建知识
中国共产党,现代,指导思想,"
马克思列宁主义、毛泽东思想、邓小平理论和三个代表。
",党建知识
中国共产党,现代,四项基本原则,"
坚持社会主义道路 坚持中国共产党的领导 坚持人民民主专政坚持马克思列宁主义和毛泽东思想。
",党建知识
中国共产党,现代,组织原则,"
党的组织原则是民主集中制
",党建知识
中国共产党,现代,处分,"
警告、严重警告、撤销党内职务、留党查看、开除党籍
",党建知识
入党,现代,条件,"
满十八岁的中国工人，农民，军人，知识分子 或者其他社会阶级的先进分子，承认党的纲领和章程，愿意加入党的一个组织并在其中积极工作，执行党的决议，按时缴纳党费
",党建知识
中国共产党,现代,八项权力,"
（1）参加党的会议，阅读党的有关文件，接受党的教育和培养（2）在党的会议上或者在党的党报和党刊上，参加有关党的政策问题的讨论
（3）对党的工作提出建议和倡议
（4）在党的会议上有根据的批评任何党组织，任何党员，对党负责的揭发检举任何党组织，任何违法乱纪的党员的事实，要求处分违法乱纪的党员，要求罢免或者撤换不称职的干部
（5）有表决权，选举权，被选举权
（6）党组织对党员做出纪律处分或者做出鉴定，自己有权利参加和申辩，其他党员可以为他作证和辩护
（7）如果对党的意见和政策时不同时，而又在必须执行的前提下，可以保留你的意见，而且还可以将你的意见向党的上级直至中央提出
（8）向党的上级直至中央提出请求，申诉和控告，有关组织必须给予负责的答复。
",党建知识
中国共产党,现代,领导方式,"
思想政治组织
",党建知识
入党,现代,入党时间,"
入党是一名党员政治生活中的大事，党员应牢记自己的入党时间、入党介绍人、转正时间等情况。党员入党时间，即党支部召开党员大会接收预备党员的时间，可在存入本人档案的《中国共产党入党志愿书》中查找。
",流程时间
入党,现代,入党积极分子,"
并不是所有写了入党申请书的人都成为入党积极分子。申请入党人经党小组（共青团员经团组织）推荐，支委会（不设支委会的支部大会）研究同意，可确定为入党积极分子。确定入党积极分子的时间由各党支部根据申请入党人的表现情况讨论决定。
",流程时间
预备党员,现代,接续预备期考察,"
预备党员工作或居住地变动时，如果预备期未满，调出单位党组织应把对预备党员的教育、考察情况，认真负责地介绍给调入单位党组织工作，其转正问题，由调入单位的党组织讨论决定，并办理手续。调入单位党组织对预备党员原所在单位党组织转来的有关材料和情况介绍，要认真对待。不能因为不是本支部发展的党员而放松对其进行教育和考察，或拖延讨论转正时间。如果缺少有关材料，调入单位党组织应主动与调出单位党组织联系。
",流程时间
入党,现代,高校毕业生组织关系,"
中组部《关于进一步加强党员组织关系管理的意见》规定：高校毕业生党员，已经落实工作单位的，应将党员组织关系及时转移到所去单位党组织；尚未落实工作单位的，可将党员组织关系转移到本人或父母居住地的街道、乡镇党组织，也可随同档案转移到县以上政府人事（劳动）部门所属的人才（劳动）服务机构党组织。
",流程时间
